Section Number,Title,Text Preview,Suggested Tags,Reason
1113A.5,Gratings.,"Gratings. Walks, sidewalks and pedestrian ways on an accessible route shall be free of gratings whenever possible. Gratings located in the s…",NONE,no match
1113A.6,Handrails.,Handrails. Handrails provided along walking surfaces with running slopes not steeper than one unit vertical in 20 units horizontal (5-percen…,NONE,no match
1114A,Level floor or landing.,,NONE,no match
1114A.1,Width.,"Width. The clear width of ramps shall be consistent with the requirements in Chapter 10 of this code, but in no case shall be less than 48 i…",NONE,no match
1114A.2,Cross slope.,Cross slope. The cross slope of ramp surfaces shall be no greater than 1 unit vertical in 48 units horizontal (2.083-percent slope). The cro…,NONE,no match
1114A.3,Outdoor ramps.,"Outdoor ramps. Outdoor ramps, ramp landings and their approaches shall be designed so that water will not accumulate on the walking surface.…",NONE,no match
1114A.4,Change of direction.,Change of direction. Intermediate landings at a change of direction shall be sized to provide 60 inches turning space complying with Section…,NONE,no match
1114A.5,Ramp height.,Ramp height. Ramps more than 30 inches (762 mm) above the adjacent floor or ground and open on one or both sides shall be provided with guar…,NONE,no match
1114A.6,Fittings.,Fittings. Handrails shall not rotate within their fittings. Handrails shall not rotate within their fittings.,NONE,no match
1114A.7,Edge protection.,Edge protection. Ramps and ramp landings shall be provided with a continuous and uninterrupted barrier on each side along the entire length …,NONE,no match
1115A,EXTERIOR STAIRWAYS,,NONE,no match
1115A.1,General.,General. Exterior stairways serving buildings on a site containing covered multifamily dwelling units shall comply with this section. Exteri…,NONE,no match
1115A.2,Open risers.,Open risers. Open risers are not permitted on exterior stairways. Exceptions: 1. An opening of not more than 1/2 inch (12.7 mm) may be permi…,NONE,no match
1115A.3,Treads.,"Treads. All tread surfaces shall be stable, firm and slip resistant, and shall comply with Section 1110A.3. Treads shall have smooth, rounde…",NONE,no match
1115A.4,Nosing.,Nosing. Nosing shall not project more than 11/4 inches (31.8 mm) past the face of the riser below. Risers shall be sloped or the underside o…,NONE,no match
1115A.5,Striping for the visually impaired.,Striping for the visually impaired. Exterior stairs serving buildings on a site containing multifamily dwelling units shall have the upper a…,NONE,no match
1115A.6,Fittings.,Fittings. Handrails shall not rotate within their fittings. Handrails shall not rotate within their fittings.,NONE,no match
1116A,HAZARDS ON ACCESSIBLE ROUTES,,NONE,no match
1116A.1,Warning curbs.,"Warning curbs. Abrupt changes in level exceeding 4 inches (101.6 mm) in vertical dimension, such as changes in level at planters or fountain…",NONE,no match
1116A.2,Headroom clearance.,"Headroom clearance. Walks, pedestrian ways, and other circulation spaces, which are part of the required egress system, shall have a minimum…",NONE,no match
1116A.3,Overhanging obstructions.,Overhanging obstructions. Any obstruction that overhangs a pedestrian way shall be a minimum of 80 inches (2032 mm) above the walking surfac…,NONE,no match
1116A.4,Free-standing signs.,Free-standing signs. Wherever signs mounted on posts or pylons protrude from the post or pylons and the bottom edge of the sign is less than…,NONE,no match
1116A.5,Detectable warnings at vehicular areas.,"Detectable warnings at vehicular areas. When a walk crosses or adjoins a vehicular way, the walking surface shall be separated from the vehi…",NONE,no match
1117A,"GENERAL REQUIREMENTS FOR ACCESSIBLE ENTRANCES, EXITS, INTERIOR ROUTES OF TRAVEL AND FACILITY ACCESSIBILITY",,NONE,no match
1117A.1,General.,"General. When buildings are required to be accessible, building facilities shall be accessible as provided in this division. Where specific …",NONE,no match
1117A.2,Primary entrances and exterior exit doors.,Primary entrances and exterior exit doors. All primary entrances and exterior ground floor exit doors to buildings and facilities on accessi…,NONE,no match
1117A.3,Separate dwelling unit entrances.,"Separate dwelling unit entrances. When a ground-floor dwelling unit of a building has a separate entrance, each such ground-floor dwelling u…",NONE,no match
1117A.4,Multiple entrances.,"Multiple entrances. Only one entrance to covered multifamily buildings is required to be accessible to any one ground floor of a building, e…",NONE,no match
1117A.5,"Entrances from parking structures, tunnels or elevated walkways.","Entrances from parking structures, tunnels or elevated walkways. Where direct access for pedestrians is provided from a parking structure to…",NONE,no match
1118A,EGRESS AND AREAS OF REFUGE,,NONE,no match
1118A.1,General.,"General. Including but not limited to the requirements contained in this chapter for accessible routes, signage and emergency warning system…",NONE,no match
1119A,INTERIOR ACCESSIBLE ROUTES,,NONE,no match
1119A.1,General.,"General. When a building or portion of a building is required to be accessible or adaptable, an accessible route shall be provided to all po…",NONE,no match
1119A.2,Recessed doormats.,Recessed doormats. Recessed doormats shall be adequately anchored to prevent interference with wheelchair traffic. Recessed doormats shall b…,NONE,no match
1119A.3,Widths.,Widths. Interior accessible routes serving an occupant load of 10 or more shall not be less than 44 inches (1118 mm) in width. Interior acce…,NONE,no match
1119A.4,Interior accessible routes over 200 feet.,Interior accessible routes over 200 feet. Interior accessible routes that exceed 200 feet (60 960 mm) in length shall comply with Section 11…,NONE,no match
1119A.5,Changes in elevation.,Changes in elevation. Interior accessible routes which have changes in elevation shall be transitioned and comply with Sections 1121A or 112…,doors,keywords:doors
1120A,RESERVED,,NONE,Skipped: definitional/scoping
1121A,CHANGES IN LEVEL ON ACCESSIBLE ROUTES,,NONE,no match
1121A.1,Changes in level not exceeding 1/2 inch.,Changes in level not exceeding 1/2 inch. Abrupt changes in level along any accessible route shall not exceed 1/2 inch (12.7 mm). When change…,NONE,no match
1121A.2,Changes greater than 1/2 inch.,Changes greater than 1/2 inch. Changes in level greater than 1/2 inch (12.7 mm) shall be made by means of a sloped surface not greater than …,NONE,no match
1122A,Changes greater than 1/2 inch.,,NONE,no match
1122A.1,Width.,"Width. The clear width of ramps shall be consistent with the requirements in Chapter 10 of this code, but in no case shall be less than 48 i…",NONE,no match
1122A.2,Cross slope.,Cross slope. The cross slope of ramp surfaces shall be no greater than 1 unit vertical in 48 units horizontal (2.083-percent slope). The cro…,NONE,no match
1122A.3,Change of direction.,Change of direction. Intermediate landings at a change of direction shall be sized to provide 60 inches turning space complying with Section…,NONE,no match
1122A.4,Ramp height.,Ramp height. Ramps more than 30 inches (762 mm) above the adjacent floor or ground and open on one or both sides shall be provided with a gu…,NONE,no match
1122A.5,Fittings.,Fittings. Handrails shall not rotate within their fittings. Handrails shall not rotate within their fittings.,NONE,no match
1122A.6,Edge protection.,Edge protection. Ramps and ramp landings shall be provided with a continuous and uninterrupted barrier on each side along the entire length …,NONE,no match
1123A,INTERIOR STAIRWAYS,,NONE,no match
1123A.1,General.,General. Interior stairways serving buildings containing covered multifamily dwelling units shall comply with this section. Interior stairwa…,NONE,no match
1123A.2,Open risers.,Open risers. Open risers shall not be permitted on interior stairways. Exception: Stairways within an individual dwelling unit. Open risers …,NONE,no match
1123A.3,Treads.,"Treads. All tread surfaces shall be stable, firm and slip resistant, and shall comply with Section 1119A.2. Treads shall have smooth, rounde…",NONE,no match
1123A.4,Nosing.,Nosing. Nosing shall not project more than 11/4 inches (31.8 mm) past the face of the riser below. Risers shall be sloped or the underside o…,NONE,no match
1123A.5,Striping for the visually impaired.,Striping for the visually impaired. Interior stairs shall have the upper approach and lower tread marked by a stripe providing clear visual …,NONE,no match
1123A.6,Fittings.,Fittings. Handrails shall not rotate within their fittings. Handrails shall not rotate within their fittings.,NONE,no match
1124A,General.,,NONE,no match
1124A.1,General.,General. Elevators provided in covered multifamily buildings shall be accessible. Elevators required to be accessible shall comply with this…,NONE,no match
1124A.10,Operation and leveling.,Operation and leveling. The elevator shall be automatic and be provided with a self-leveling feature that will automatically bring the car t…,NONE,no match
1124A.11,Restriction sign.,Restriction sign. A sign complying with Section 1143A shall be securely fastened in a conspicuous place at each landing and on the platform.…,NONE,no match
1124A.2,Location.,Location. Passenger elevators shall be located on a major accessible route and provisions shall be made to ensure that they remain accessibl…,NONE,no match
1124A.3,Emergency telephone.,"Emergency telephone. When an emergency telephone system is installed, the emergency telephone handset shall be positioned no higher than 48 …",doors,keywords:doors
1124A.4,Hall call buttons.,"Hall call buttons. Call operation buttons and keypads shall be located within one of the reach ranges specified in Section 1138A.3, measured…",NONE,no match
1124A.5,Minimum illumination.,Minimum illumination. The minimum illumination at the car controls threshold and the landing when the car and landing doors are open shall n…,doors,keywords:doors
1124A.6,Hall lantern.,Hall lantern. A visual and audible signal shall be provided at each hoistway entrance indicating to the prospective passenger the car answer…,NONE,no match
1124A.7,Door delay for car calls.,Door delay for car calls. The minimum acceptable time for the door to remain fully open after receiving a call shall not be less than 5 seco…,NONE,no match
1124A.8,Doorjamb marking.,Doorjamb marking. The floor level at all elevator hoistway entrances shall be designated by raised characters provided on both jambs. Charac…,NONE,no match
1124A.9,Door protective and reopening devices.,Door protective and reopening devices. Doors closed by automatic means shall be provided with a door-reopening device that will function to …,NONE,no match
1125A,HAZARDS ON ACCESSIBLE ROUTES,,NONE,no match
1125A.1,Warning curbs.,"Warning curbs. Abrupt changes in level exceeding 4 inches (101.6 mm) in vertical dimension, such as changes in level at planters or fountain…",NONE,no match
1125A.2,Headroom clearance.,"Headroom clearance. Walks, halls, corridors, passageways, aisles, pedestrian ways and other circulation spaces which are part of the require…",NONE,no match
1125A.3,Overhanging obstructions.,Overhanging obstructions. Any obstruction that overhangs a pedestrian way shall be a minimum of 80 inches (2032 mm) above the walking surfac…,NONE,no match
1125A.4,Free-standing signs.,Free-standing signs. Wherever signs mounted on posts or pylons protrude from the posts or pylons and the bottom edge of the sign is less tha…,NONE,no match
1126A,Single-accommodation toilet facilities.,,doors,anchors:doors
1126A.1,Width and height of doors and gates.,Width and height of doors and gates. Doorways which provide access to common use areas or covered multifamily dwellings shall comply with th…,"bathrooms,doors",anchors:doors;keywords:bathrooms/doors
1126A.2,Thresholds and changes in elevation.,Thresholds and changes in elevation. The floor or landing shall not be more than 1/2 inch (12.7 mm) lower than the top of the threshold of t…,"bathrooms,doors",anchors:doors;keywords:bathrooms/doors
1126A.3,Recessed doors or gates.,Recessed doors or gates. Maneuvering clearances for forward approach shall be provided when any obstruction within 18 inches (457 mm) of the…,"bathrooms,doors",anchors:doors;keywords:bathrooms/doors
1126A.4,Spring hinges.,"Spring hinges. Spring hinges shall be adjusted so that from the open position of 70 degrees, the door or gate shall move to the closed posit…","bathrooms,doors",anchors:doors;keywords:bathrooms/doors
1126A.5,Type of latch and lock.,Type of latch and lock. The type of latch and lock required for all doors or gates shall be in accordance with Section 1126A.6 and Chapter 1…,"bathrooms,doors",anchors:doors;keywords:bathrooms/doors
1126A.6,Lever type hardware.,Lever type hardware. The lever or lever of actuated latches or locks shall be curved with a return to within 1/2 inch (12.7 mm) of the door …,"bathrooms,doors",anchors:doors;keywords:bathrooms/doors
1126A.7,Smooth surface.,Smooth surface. Swinging door or gate surfaces within 10 inches (254 mm) of the finish floor or ground measured vertically shall have a smoo…,"bathrooms,doors",anchors:doors;keywords:bathrooms/doors
1126A.8,Windows.,"Windows. Where glazed openings are provided in accessible rooms or spaces for operation by occupants, at least one opening shall comply with…","bathrooms,doors",anchors:doors;keywords:bathrooms
1127A,COMMON USE FACILITIES,,NONE,no match
1127A.1,General.,"General. When provided, common use areas and facilities in covered multifamily housing developments shall be accessible to persons with disa…",bathrooms,keywords:bathrooms
1127A.10,Washing machines and clothes dryers.,Washing machines and clothes dryers. Washing machines and clothes dryers in accessible common use laundry rooms shall be front loading. The …,NONE,no match
1127A.11,Hardware.,Hardware. Hardware for accessible storage facilities shall comply with Section 1138A.4. Touch latches and U-shaped pulls are acceptable. Har…,NONE,no match
1127A.12,Height of work surfaces.,Height of work surfaces. The tops of tables and counters shall be 28 inches to 34 inches (711 mm to 864 mm) from the finish floor. Exception…,NONE,no match
1127A.13,Electric vehicle charging stations. ,Electric vehicle charging stations. (Reserved) (Reserved),NONE,no match
1127A.2,Accessible urinals.,"Accessible urinals. When urinals are provided, at least one shall comply with the following: 1. Height and wall projection. Urinals shall be…",bathrooms,anchors:bathrooms;keywords:bathrooms
1127A.3,Accessible lavatories.,"Accessible lavatories. When common use lavatories are provided for residents or guests, at least one, and not less than 1 percent of all lav…",bathrooms,anchors:bathrooms
1127A.4,Spacing.,"Spacing. When grab bars are mounted adjacent to a wall, the space between the wall and the grab bars shall be 11/2 inches (38 mm). (See Figu…",bathrooms,anchors:bathrooms;keywords:bathrooms
1127A.5,Multiple showers.,"Multiple showers. When two or more accessible showers are provided within the same functional area, there shall be at least one shower const…",bathrooms,anchors:bathrooms
1127A.6,General.,"General. Where lockers are provided for residents or guests, at least one locker and not less than 1 percent of all lockers shall be accessi…",NONE,no match
1127A.7,Unisex sanitary facilities.,"Unisex sanitary facilities. Unisex sanitary facilities shall be identified by a circle, 1/4 inch (6.4 mm) thick and 12 inches (305 mm) in di…",NONE,no match
1127A.8,Mirrors.,"Mirrors. Where mirrors are provided, at least one shall be accessible. Mirrors located above lavatories or countertops shall be installed wi…",bathrooms,keywords:bathrooms
1127A.9,Space allowances and reach ranges in common use areas.,Space allowances and reach ranges in common use areas. Space allowances and reach ranges in common use areas shall comply with Section 1138A…,NONE,no match
1128A,COVERED DWELLING UNITS,,NONE,no match
1128A.1,General.,General. Covered multifamily dwelling units shall be adaptable and accessible into and throughout the dwelling unit as provided in this divi…,NONE,no match
1129A,RESERVED,,NONE,Skipped: definitional/scoping
1130A,ACCESSIBLE ROUTE WITHIN COVERED MULTIFAMILY DWELLING UNITS,,NONE,no match
1130A.1,General.,General. An accessible route shall be provided through all rooms and spaces of the dwelling unit. The accessible route shall pass through th…,kitchens,keywords:kitchens
1130A.2,Width.,Width. The accessible route into and throughout covered multifamily dwelling units shall be at least 36 inches (914 mm) wide. The accessible…,NONE,no match
1131A,CHANGES IN LEVEL ON ACCESSIBLE ROUTES,,NONE,no match
1131A.1,Changes in level not exceeding 1/2 inch.,Changes in level not exceeding 1/2 inch. Abrupt changes in level along any accessible route shall not exceed 1/2 inch (12.7 mm). When change…,NONE,no match
1131A.2,Changes greater than 1/2 inch.,Changes greater than 1/2 inch. Changes in level greater than 1/2 inch (12.7 mm) shall be made by means of a sloped surface not greater than …,NONE,no match
1132A,DOORS,,NONE,no match
1132A.1,Primary entry doors and required exit doors.,Primary entry doors and required exit doors. The width and height of primary entry doors and all required exit doors shall comply with Secti…,doors,keywords:doors
1132A.10,Door signal devices.,"Door signal devices. Every primary entrance to a covered multifamily dwelling unit shall be provided with a door buzzer, bell, chime or equi…",doors,keywords:doors
1132A.2,Interior doors and secondary exterior doors.,"Interior doors and secondary exterior doors. Except as allowed by Section 1109A.2, interior doors intended for user passage and secondary ex…",doors,keywords:doors
1132A.3,Width and height of interior doors and secondary exterior doors.,Width and height of interior doors and secondary exterior doors. Doors shall comply with the following: 1. Doors shall not be less than 6 fe…,doors,keywords:doors
1132A.4,Thresholds.,Thresholds. Thresholds at the primary entry and required exit doors shall be no higher than 1/2 inch (12.7 mm). Thresholds at secondary exte…,doors,keywords:doors
1132A.5,Strike edge maneuvering space at doors.,Strike edge maneuvering space at doors. The width of the level area on the side to which the door swings shall extend 18 inches (457 mm) pas…,doors,keywords:doors
1132A.6,Closer-effort to operate doors.,Closer-effort to operate doors. Maximum effort to operate doors shall not exceed 8 1/2 pounds (38 N) for exterior doors and 5 pounds (22 N) …,doors,keywords:doors
1132A.7,Type of lock or latch.,"Type of lock or latch. The type of latch and lock required for all doors shall be in accordance with Section 1132A.8 and Chapter 10, Section…",doors,keywords:doors
1132A.8,Lever-type hardware.,Lever-type hardware. The lever or lever of actuated latches or locks shall be curved with a return to within 1/2 inch (12.7 mm) of the door …,doors,keywords:doors
1132A.9,Smooth surface.,Smooth surface. Swinging door or gate surfaces within 10 inches (254 mm) of the finish floor or ground measured vertically shall have a smoo…,doors,keywords:doors
1133A,Knee and toe space.,,NONE,no match
1133A.1,General.,General. Kitchens shall be on an accessible route and shall comply with this section. (See Figure 11A-10A.) Kitchens shall be on an accessib…,NONE,no match
1133A.2,Clear width.,"Clear width. Kitchens shall have a minimum clear width measured between any cabinet, countertop or the face of any appliance (excluding hand…",kitchens,keywords:kitchens
1133A.3,Removable base cabinets.,Removable base cabinets. Sinks and work surfaces required by Section 1133A.4 (see Item 1 and Item 2) shall be provided with knee and toe spa…,kitchens,keywords:kitchens
1133A.4,Repositionable countertops.,Repositionable countertops. Repositionable countertops shall be provided in a minimum of 5 percent of the covered multifamily dwelling units…,kitchens,keywords:kitchens
1133A.5,Lower shelving.,Lower shelving. Lower shelving and/or drawer space shall be provided in the kitchen at a height of no more than 48 inches (1219 mm) above th…,NONE,no match
1133A.6,Kitchen sink faucet controls.,"Kitchen sink faucet controls. Faucet controls and operating mechanisms shall be operable with one hand and shall not require tight grasping,…",kitchens,keywords:kitchens
1133A.7,Plumbing protection.,Plumbing protection. Water supply and drain pipes under kitchen sinks shall be insulated or otherwise covered to protect against contact. Th…,kitchens,keywords:kitchens
1134A,Number of complying bathrooms.,,NONE,no match
1134A.1,General.,"General. All bathrooms, bathing and toilet facilities within covered multifamily dwelling units shall comply with this section. All bathroom…",bathrooms,keywords:bathrooms
1134A.2,Number of complying bathrooms.,Number of complying bathrooms. Bathrooms shall be designed to comply with one of the following options: Option 1. All bathrooms within the d…,"bathrooms,doors",keywords:bathrooms/doors
1134A.3,Powder rooms.,"Powder rooms. All powder rooms shall be designed to comply with Section 1134A.2, Option 2, Items 8 through 12. When the powder room is the o…",bathrooms,keywords:bathrooms
1134A.4,Sufficient maneuvering space.,Sufficient maneuvering space. Bathing and toilet facilities required to be adaptable shall provide sufficient maneuvering space for a person…,bathrooms,keywords:bathrooms
1134A.5,Bathtubs.,Bathtubs. Bathtubs required to be accessible shall comply with this section. 1. Floor space. There shall be a minimum clear floor space 48 i…,bathrooms,keywords:bathrooms
1134A.6,Showers.,Showers. Showers required to be accessible shall comply with this section. 1. Size. When one or more shower stalls are provided within the s…,"bathrooms,doors",keywords:bathrooms/doors
1134A.7,Water closets.,Water closets. Water closets in bathrooms or powder rooms required to be accessible shall comply with this section. 1. Floor space and locat…,bathrooms,keywords:bathrooms
1134A.8,"Lavatories, vanities, mirrors and towel fixtures.","Lavatories, vanities, mirrors and towel fixtures. Bathrooms or powder rooms required to be accessible shall have at least one accessible lav…",bathrooms,keywords:bathrooms
1135A,LAUNDRY ROOMS,,NONE,no match
1135A.1,General.,"General. If clothes washing machines and clothes dryers are provided in covered multifamily dwelling units, one of each type of appliance sh…",NONE,no match
1136A,"ELECTRICAL RECEPTACLE,SWITCH AND CONTROL HEIGHTS",,NONE,no match
1136A.1,Receptacle heights.,Receptacle heights. Electrical receptacle outlets on branch circuits of 30 amperes or less and communication system receptacles shall be loc…,kitchens,keywords:kitchens
1136A.2,Switch and control heights.,Switch and control heights. Controls or switches intended to be used by the occupant of the room or area to control lighting and receptacle …,kitchens,keywords:kitchens
1137A,OTHER FEATURES AND FACILITIES,,NONE,no match
1137A.1,General.,General. This division shall apply to features and facilities of common use areas on accessible floors or sites. Note: The provisions in thi…,NONE,no match
1138A,SPACE ALLOWANCES AND REACH RANGES,,NONE,no match
1138A.1,Turn around obstruction.,"Turn around obstruction. When the accessible route makes a 180 degree turn around an element which is less than 48 inches (1219 mm) wide, cl…",NONE,no match
1138A.2,Additional clearance.,Additional clearance. Space extending greater than 6 inches (152 mm) beyond the available knee space at 9 inches (229 mm) above the finish f…,NONE,no match
1138A.3,Side reach.,"Side reach. 1. Unobstructed. When a clear floor space allows a parallel approach to an element, and the side reach is unobstructed, the high…",kitchens,keywords:kitchens
1138A.4,Operation.,"Operation. Controls and operating mechanisms shall be operable with one hand and shall not require tight grasping, pinching or twisting of t…",NONE,no match
1139A,ACCESSIBLE DRINKING FOUNTAINS,,NONE,no match
1139A.1,General.,General. Drinking fountains and water coolers in common use areas and/or sites shall comply with this section. A side approach drinking foun…,NONE,no match
1139A.2,Accessible route.,Accessible route. Drinking fountains and water coolers shall be on an accessible route. Drinking fountains and water coolers shall be on an …,NONE,no match
1139A.3,Depth.,Depth. Drinking fountains shall be a minimum of 18 inches (457 mm) and a maximum of 19 inches (483 mm) in depth. Drinking fountains shall be…,NONE,no match
1139A.4,Knee and toe space.,Knee and toe space. Drinking fountains shall be provided with a clear and unobstructed knee and toe space. Knee and toe space shall comply w…,NONE,no match
1139A.5,Spout location.,Spout location. The spout shall be located 15 inches (381 mm) minimum from the vertical support and 5 inches (127 mm) maximum from the front…,NONE,no match
1139A.6,Water flow.,Water flow. The spout shall provide a flow of water at least 4 inches (101.6 mm) high to allow the insertion of a cup or glass under the flo…,NONE,no match
1139A.7,Controls and operating mechanisms.,Controls and operating mechanisms. The flow of water shall be activated by manually or electronically operated controls. The manually operat…,NONE,no match
1139A.8,Location.,"Location. Drinking fountains shall be located completely within alcoves, between wing walls or otherwise positioned so as not to encroach in…",NONE,no match
1140A,ACCESSIBLE TELEPHONES,,NONE,no match
1140A.1,General.,"General. When public telephones are provided, they shall comply with this section. On floors where public telephones are provided, at least …",NONE,no match
1140A.10,Telephone books.,"Telephone books. If telephone books are provided, they shall be located in a position that complies with the reach ranges in Section 1138A.3…",NONE,no match
1140A.11,Shelf.,Shelf. Public pay telephones required to accommodate a portable TTY shall be equipped with a shelf and an electrical outlet within or adjace…,NONE,no match
1140A.2,Clear floor or ground space.,Clear floor or ground space. A clear floor or ground space at least 30 inches by 48 inches (762 mm by 1219 mm) that allows either a forward …,NONE,no match
1140A.3,Relationship of maneuvering clearances to wheelchair spaces.,Relationship of maneuvering clearances to wheelchair spaces. One full unobstructed side of the clear floor or ground space for a wheelchair …,NONE,no match
1140A.4,Mounting height.,Mounting height. The highest operable part of the telephone shall be within the reach ranges specified in Section 1138A.3 (See Figure 11A-11…,NONE,no match
1140A.5,Forward approach.,"Forward approach. Where a forward approach is provided, the counter may extend beyond the face of the telephone 20 inches (508 mm) maximum i…",NONE,no match
